game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
overfishing,decision,-4,-42.033233642578125,-18.486070815952196,2.2737786769866943,100,89,0.89,fish caught,96.66292134831461,17.906920843517916,92.89078720849369,100.43505548813553,0.033707865168539325,0.011529221151789802,0.09447362440561424,0.9550561797752809,0.011235955056179775,46.62720706260033,7.919349684646539e-46,-0.9254758083008484,True,0.2
overfishing,decision,-3,-31.524925231933594,-13.864553111964147,2.2737786769866943,100,95,0.95,fish caught,84.76842105263158,28.073404022986768,79.04957649628581,90.48726560897735,0.25263157894736843,0.17604541982403177,0.34844561297970755,0.7157894736842105,0.031578947368421054,34.732706766917296,2.6182181379099517e-20,-0.7065520945220193,True,0.5
overfishing,decision,-2,-21.016616821289062,-9.243035407976098,2.2737786769866943,100,96,0.96,fish caught,70.03125,29.341349707052995,64.08613999068567,75.97636000931433,0.5416666666666666,0.442315529177278,0.6378115051679158,0.3854166666666667,0.07291666666666667,19.995535714285715,1.0183287671622616e-08,-0.4175170068027211,True,0.47
overfishing,decision,-1,-10.508308410644531,-4.621517703988049,2.2737786769866943,100,95,0.95,fish caught,52.71578947368421,23.105522577345628,48.0089540680176,57.42262487935082,0.8526315789473684,0.7677140150925396,0.9101391934638322,0.1368421052631579,0.010526315789473684,2.6800751879699263,0.3234822523317038,-0.1065520945220193,True,0.42
overfishing,decision,0,0.0,0.0,2.2737786769866943,100,98,0.98,fish caught,50.035714285714285,12.90413703342147,47.44859846518747,52.622830106241096,0.9591836734693877,0.8997117888636472,0.9840147508205235,0.04081632653061224,0.0,0.0,1.0,0.0,False,0.42
overfishing,decision,1,10.508308410644531,4.621517703988049,2.2737786769866943,100,99,0.99,fish caught,49.13131313131313,13.422222256351866,46.4542981016193,51.808328161006955,0.9595959595959596,0.9006797874974577,0.9841773610058524,0.04040404040404041,0.0,-0.9044011544011568,0.6302603093358561,0.00041228612657184804,False,0.38
overfishing,decision,2,21.016616821289062,9.243035407976098,2.2737786769866943,100,99,0.99,fish caught,49.75757575757576,8.83302119610471,47.99586074139159,51.51929077375993,0.9797979797979798,0.9293096883284993,0.9944422798892423,0.020202020202020204,0.0,-0.2781385281385269,0.8602190700389379,0.02061430632859207,False,0.4
overfishing,decision,3,31.524925231933594,13.864553111964147,2.2737786769866943,100,99,0.99,fish caught,50.13131313131313,7.750768842240511,48.58544954135943,51.677176721266825,0.9797979797979798,0.9293096883284993,0.9944422798892423,0.020202020202020204,0.0,0.09559884559884324,0.9498820253990967,0.02061430632859207,False,0.26
overfishing,decision,4,42.033233642578125,18.486070815952196,2.2737786769866943,100,100,1.0,fish caught,49.49,11.381799222238705,47.231604104368074,51.74839589563193,0.97,0.9154806357094724,0.9897454759759611,0.03,0.0,-0.5457142857142827,0.7528369472468013,0.010816326530612264,False,0.21
overfishing,decision,5,52.541542053222656,23.107588519940244,2.2737786769866943,100,100,1.0,fish caught,50.56,9.84559584665944,48.606420182258944,52.51357981774106,0.95,0.8882495307680808,0.9784563208456319,0.03,0.02,0.5242857142857176,0.748619764229406,-0.009183673469387754,False,0.15
overfishing,shuffled-null,-5,-52.541542053222656,-35.3476886121279,1.4864208698272705,100,93,0.93,fish caught,48.40860215053763,15.487889068797793,45.21890923025719,51.598295070818075,0.967741935483871,0.9094061748887851,0.988969387184108,0.03225806451612903,0.0,-1.6271121351766524,0.4325327450694625,0.008558262014483287,False,0.69
overfishing,shuffled-null,0,0.0,0.0,1.4864208698272705,100,98,0.98,fish caught,50.035714285714285,12.90413703342147,47.44859846518747,52.622830106241096,0.9591836734693877,0.8997117888636472,0.9840147508205235,0.04081632653061224,0.0,0.0,1.0,0.0,False,0.42
overfishing,shuffled-null,5,52.541542053222656,35.3476886121279,1.4864208698272705,100,95,0.95,fish caught,26.1,13.155493957909576,23.42008897297854,28.779911027021463,0.9894736842105263,0.9427612985868637,0.9981394237376521,0.010526315789473684,0.0,-23.935714285714283,2.429231286931743e-27,0.030290010741138573,False,0.19
prisoners_dilemma,decision,-5,-52.541542053222656,-6.205516029266299,8.466909408569336,100,100,1.0,P(Cooperate),0.03,0.17144660799776534,0.010254524024038925,0.0845193642905276,0.03,0.010254524024038925,0.0845193642905276,0.97,0.0,0.03,0.08095194377738098,0.03,False,0.84
prisoners_dilemma,decision,-4,-42.033233642578125,-4.964412823413039,8.466909408569336,100,100,1.0,P(Cooperate),0.03,0.17144660799776523,0.010254524024038925,0.0845193642905276,0.03,0.010254524024038925,0.0845193642905276,0.97,0.0,0.03,0.08095194377738098,0.03,False,0.68
prisoners_dilemma,decision,-3,-31.524925231933594,-3.7233096175597797,8.466909408569336,100,100,1.0,P(Cooperate),0.01,0.09999999999999999,0.0017674320641406505,0.054486196178705315,0.01,0.0017674320641406505,0.054486196178705315,0.99,0.0,0.01,0.3160976220289126,0.01,False,0.55
prisoners_dilemma,decision,-2,-21.016616821289062,-2.4822064117065197,8.466909408569336,100,100,1.0,P(Cooperate),0.02,0.14070529413628954,0.00550196755016235,0.07001179072854388,0.02,0.00550196755016235,0.07001179072854388,0.98,0.0,0.02,0.15521848968468402,0.02,False,0.44
prisoners_dilemma,decision,-1,-10.508308410644531,-1.2411032058532598,8.466909408569336,100,100,1.0,P(Cooperate),0.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0,0.0,,0.0,False,0.33
prisoners_dilemma,decision,0,0.0,0.0,8.466909408569336,100,100,1.0,P(Cooperate),0.0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.0,0.0,,0.0,False,0.19
