game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
dictator,decision,1,10.508308410644531,1.518179908030932,6.921648979187012,100,98,0.98,dollars given,41.423469387755105,13.473791291124595,38.722145113108716,44.124793662401494,0.6122448979591837,0.5132867257374744,0.702735317296434,0.05102040816326531,0.336734693877551,30.033469387755105,4.2194741775138625e-28,0.4722448979591837,True,0.08
dictator,decision,2,21.016616821289062,3.036359816061864,6.921648979187012,100,98,0.98,dollars given,43.704081632653065,9.308248402527955,41.83789587833235,45.57026738697378,0.6122448979591837,0.5132867257374744,0.702735317296434,0.01020408163265306,0.37755102040816324,32.314081632653064,4.199824121703031e-33,0.4722448979591837,True,0.0
dictator,decision,3,31.524925231933594,4.554539724092796,6.921648979187012,100,96,0.96,dollars given,42.875,7.148426400264607,41.426594191563574,44.323405808436426,0.4375,0.3425682747577502,0.5372411737244593,0.0,0.5625,31.485,3.116273896127834e-32,0.2975,True,0.0
dictator,decision,4,42.033233642578125,6.072719632123728,6.921648979187012,100,97,0.97,dollars given,40.04123711340206,8.305266308409873,38.367355364169846,41.71511886263428,0.35051546391752575,0.26291093968524726,0.4495089286987989,0.0,0.6494845360824743,28.65123711340206,1.0409801574823904e-28,0.21051546391752574,True,0.0
dictator,decision,5,52.541542053222656,7.59089954015466,6.921648979187012,100,94,0.94,dollars given,37.87234042553192,7.913828977629308,36.251431412929065,39.49324943813477,0.23404255319148937,0.15994219953344968,0.32902698998332947,0.0,0.7659574468085106,26.482340425531916,4.989467416155685e-26,0.09404255319148935,False,0.0
dictator,shuffled-null,-5,-52.541542053222656,-61.91515517265357,0.8486055135726929,100,96,0.96,dollars given,17.723958333333332,34.01144310465822,10.83259945408846,24.615317212578205,0.23958333333333334,0.1652822121585541,0.33392382318398534,0.7604166666666666,0.0,6.333958333333332,0.10908525269297553,0.09958333333333333,False,0.28
dictator,shuffled-null,0,0.0,0.0,0.8486055135726929,100,100,1.0,dollars given,11.39,18.397351039009,7.739566420411217,15.040433579588784,0.14,0.08526343659939134,0.22137188210963837,0.68,0.18,0.0,1.0,0.0,False,0.17
dictator,shuffled-null,5,52.541542053222656,61.91515517265357,0.8486055135726929,100,97,0.97,dollars given,37.670103092783506,9.701505091011793,35.71481692748808,39.62538925807893,0.35051546391752575,0.26291093968524726,0.4495089286987989,0.0,0.6494845360824743,26.280103092783506,2.5617828772224216e-25,0.21051546391752574,True,0.16
overfishing,decision,-5,-52.541542053222656,-24.45420158033643,2.148569107055664,100,90,0.9,fish caught,94.11111111111111,21.63509656197407,89.5797278645901,98.64249435763213,0.05555555555555555,0.023960971616961965,0.12353736221799518,0.9444444444444444,0.0,44.07539682539683,1.4167800363605867e-35,-0.9036281179138321,True,0.58
overfishing,decision,-4,-42.033233642578125,-19.563361264269144,2.148569107055664,100,98,0.98,fish caught,88.29591836734694,29.050332852458475,82.47169505667448,94.12014167801941,0.14285714285714285,0.0870447054699054,0.22561243033129502,0.8571428571428571,0.0,38.26020408163266,9.202361468694918e-23,-0.8163265306122449,True,0.71
overfishing,decision,-3,-31.524925231933594,-14.672520948201859,2.148569107055664,100,99,0.99,fish caught,73.45454545454545,37.131117025710296,66.04887473559226,80.86021617349864,0.37373737373737376,0.2848318300138313,0.47207554677097374,0.6262626262626263,0.0,23.41883116883117,2.994800146505159e-08,-0.585446299732014,True,0.57
overfishing,decision,-2,-21.016616821289062,-9.781680632134572,2.148569107055664,100,94,0.94,fish caught,66.93617021276596,32.64036965801056,60.250775632858456,73.62156479267347,0.5531914893617021,0.4525698634332176,0.6496362986634265,0.44680851063829785,0.0,16.900455927051674,7.53866815856504e-06,-0.40599218410768556,True,0.47
overfishing,decision,-1,-10.508308410644531,-4.890840316067286,2.148569107055664,100,98,0.98,fish caught,47.6530612244898,21.490876530226735,43.344413034817244,51.96170941416235,0.9183673469387755,0.8471171284576644,0.9580559410323579,0.08163265306122448,0.0,-2.382653061224488,0.3481609593095003,-0.04081632653061218,False,0.36
overfishing,decision,0,0.0,0.0,2.148569107055664,100,98,0.98,fish caught,50.035714285714285,12.90413703342147,47.44859846518747,52.622830106241096,0.9591836734693877,0.8997117888636472,0.9840147508205235,0.04081632653061224,0.0,0.0,1.0,0.0,False,0.42
overfishing,decision,1,10.508308410644531,4.890840316067286,2.148569107055664,100,98,0.98,fish caught,48.31122448979592,14.030804715318153,45.49822608783325,51.124222891758585,0.9591836734693877,0.8997117888636472,0.9840147508205235,0.04081632653061224,0.0,-1.724489795918366,0.37160721226797766,0.0,False,0.4
overfishing,decision,2,21.016616821289062,9.781680632134572,2.148569107055664,100,99,0.99,fish caught,45.31818181818182,13.775987417007304,42.57060957121285,48.06575406515079,0.9696969696969697,0.9146631979389799,0.9896413604215459,0.030303030303030304,0.0,-4.717532467532465,0.013957396280134779,0.010513296227582014,False,0.27
overfishing,decision,3,31.524925231933594,14.672520948201859,2.148569107055664,100,100,1.0,fish caught,41.325,14.32793679240918,38.48202649352429,44.16797350647572,0.98,0.929988209271456,0.9944980324498376,0.02,0.0,-8.710714285714282,1.182914574290235e-05,0.020816326530612272,False,0.29
overfishing,decision,4,42.033233642578125,19.563361264269144,2.148569107055664,100,99,0.99,fish caught,41.97979797979798,14.405908508621433,39.10659018622836,44.8530057733676,0.9595959595959596,0.9006797874974577,0.9841773610058524,0.04040404040404041,0.0,-8.055916305916305,5.28860055433e-05,0.00041228612657184804,False,0.27
overfishing,decision,5,52.541542053222656,24.45420158033643,2.148569107055664,100,100,1.0,fish caught,35.2,13.78478153690519,32.46480028005571,37.93519971994429,0.99,0.9455138038212946,0.9982325679358593,0.01,0.0,-14.835714285714282,3.209161378787497e-13,0.03081632653061228,False,0.17
overfishing,shuffled-null,-5,-52.541542053222656,-39.39859606146694,1.3335891962051392,100,100,1.0,fish caught,76.53,26.934434045914866,71.18562393847091,81.87437606152909,0.45,0.3561453797951198,0.5475539700255787,0.55,0.0,26.494285714285716,2.9783172045705046e-15,-0.5091836734693878,True,0.26
overfishing,shuffled-null,0,0.0,0.0,1.3335891962051392,100,98,0.98,fish caught,50.035714285714285,12.90413703342147,47.44859846518747,52.622830106241096,0.9591836734693877,0.8997117888636472,0.9840147508205235,0.04081632653061224,0.0,0.0,1.0,0.0,False,0.42
overfishing,shuffled-null,5,52.541542053222656,39.39859606146694,1.3335891962051392,100,94,0.94,fish caught,27.829787234042552,22.360505840870857,23.24991249246282,32.409661975622285,1.0,0.9607379237084551,0.9999999999999999,0.0,0.0,-22.205927051671733,3.7959959225465084e-14,0.04081632653061229,False,0.53
trust,decision,-5,-52.541542053222656,-11.118660048671307,4.725528240203857,100,90,0.9,dollars sent,5.555555555555555,23.034469096157228,0.731079406080533,10.380031705030579,0.05555555555555555,0.023960971616961965,0.12353736221799518,0.9444444444444444,0.0,-27.893424036281175,7.96704699184448e-13,-0.2811791383219955,True,0.68
trust,decision,-4,-42.033233642578125,-8.894928038937046,4.725528240203857,100,93,0.93,dollars sent,6.451612903225806,23.57435790495974,1.5965314795670702,11.306694326884543,0.07526881720430108,0.03693668398168047,0.1472970010325892,0.9247311827956989,0.0,-26.997366688610924,3.7261019620592375e-12,-0.26146587667324994,True,0.54
trust,decision,-3,-31.524925231933594,-6.671196029202784,4.725528240203857,100,93,0.93,dollars sent,5.440860215053763,22.666035865600364,0.7728454965741198,10.108874933533407,0.053763440860215055,0.023180674253084205,0.11974838721760417,0.946236559139785,0.0,-28.008119376782968,3.298205909069325e-13,-0.28297125301733594,True,0.45
trust,decision,-2,-21.016616821289062,-4.447464019468523,4.725528240203857,100,92,0.92,dollars sent,6.5978260869565215,24.807416377165968,1.4603556699687887,11.735296503944255,0.06521739130434782,0.030230203323134093,0.13505796127305872,0.9347826086956522,0.0,-26.85115350488021,1.4322405246037732e-11,-0.27151730257320317,True,0.43
trust,decision,-1,-10.508308410644531,-2.2237320097342614,4.725528240203857,100,93,0.93,dollars sent,8.0,26.570660511172846,2.5278373738867552,13.472162626113246,0.07526881720430108,0.03693668398168047,0.1472970010325892,0.9139784946236559,0.010752688172043012,-25.448979591836732,3.8397874370091517e-10,-0.26146587667324994,True,0.44
trust,decision,0,0.0,0.0,4.725528240203857,100,98,0.98,dollars sent,33.44897959183673,26.62255165606767,28.111495621090107,38.78646356258336,0.336734693877551,0.2509013451362383,0.4348847740871675,0.2755102040816326,0.3877551020408163,0.0,1.0,0.0,False,0.47
trust,decision,1,10.508308410644531,2.2237320097342614,4.725528240203857,100,100,1.0,dollars sent,41.83,10.69107529246198,39.70865871740101,43.95134128259899,0.49,0.3942199893044113,0.5865198806597283,0.01,0.5,8.381020408163266,0.004451741072921749,0.15326530612244899,True,0.27
trust,decision,2,21.016616821289062,4.447464019468523,4.725528240203857,100,100,1.0,dollars sent,50.89,15.004305779315217,47.91282021258966,53.86717978741034,0.69,0.5937394428051057,0.7722030278762395,0.0,0.31,17.44102040816327,7.183902600652332e-08,0.35326530612244894,True,0.12
trust,decision,3,31.524925231933594,6.671196029202784,4.725528240203857,100,98,0.98,dollars sent,53.494897959183675,11.357475148203392,51.21786823134868,55.77192768701867,0.7755102040816326,0.6834183446173341,0.8468175791931682,0.0,0.22448979591836735,20.045918367346943,2.505480158266826e-10,0.4387755102040816,True,0.04
trust,decision,4,42.033233642578125,8.894928038937046,4.725528240203857,100,99,0.99,dollars sent,57.22222222222222,11.253621236282358,54.97772704008107,59.46671740436337,0.8787878787878788,0.7999933846227947,0.9292844850227906,0.0,0.12121212121212122,23.77324263038549,2.6314285481496716e-13,0.5420531849103278,True,0.02
trust,decision,5,52.541542053222656,11.118660048671307,4.725528240203857,100,99,0.99,dollars sent,61.61616161616162,13.397918716457323,58.94399384203619,64.28832939028705,0.9393939393939394,0.8740321262351005,0.9719302025537786,0.010101010101010102,0.050505050505050504,28.167182024324887,1.5105999660039994e-16,0.6026592455163884,True,0.0
trust,shuffled-null,-5,-52.541542053222656,-39.82761953222402,1.3192237615585327,100,92,0.92,dollars sent,91.30434782608695,28.331529878993138,85.43705417452777,97.17164147764613,0.9130434782608695,0.8376974325974105,0.9552788110362063,0.08695652173913043,0.0,57.85536823425022,2.823115546082073e-32,0.5763087843833186,True,0.52
