family,game_id,arm,k,unit_beta,raw_beta_equivalent,vector,vector_sha256_16,vector_layer_norm,rows_csv,n_rows
ultimatum,altruism_v3/ultimatum,decision,5,52.541542053222656,9.790710236024433,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef52.5415.csv,100
ultimatum,altruism_v3/ultimatum,decision,-5,-52.541542053222656,-9.790710236024433,results/crossgame-decision-vectors/vectors/decision_ultimatum_response_avg_diff_cellbalanced_strict.pt,6b5a28aa4ee6756b,5.366468906402588,ultimatum/decision/altruism_v3-ultimatum_free_layer20_all_unit_coef-52.5415.csv,100
ultimatum,altruism_v3/ultimatum,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_ultimatum_response_avg_diff_cellbalanced_strict_seed20260821.pt,dfc1231bac5fe096,2.6862378120422363,ultimatum/shuffled-null/altruism_v3-ultimatum_free_layer20_all_unit_coef0.csv,100
ultimatum,altruism_v3/ultimatum,shuffled-null,5,52.541542053222656,19.559527387218736,results/crossgame-per-game-steering/vectors/null_ultimatum_response_avg_diff_cellbalanced_strict_seed20260821.pt,dfc1231bac5fe096,2.6862378120422363,ultimatum/shuffled-null/altruism_v3-ultimatum_free_layer20_all_unit_coef52.5415.csv,100
ultimatum,altruism_v3/ultimatum,shuffled-null,-5,-52.541542053222656,-19.559527387218736,results/crossgame-per-game-steering/vectors/null_ultimatum_response_avg_diff_cellbalanced_strict_seed20260821.pt,dfc1231bac5fe096,2.6862378120422363,ultimatum/shuffled-null/altruism_v3-ultimatum_free_layer20_all_unit_coef-52.5415.csv,100
apology,altruism_v3/apology,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef0.csv,100
apology,altruism_v3/apology,decision,1,10.508308410644531,1.3130641105986567,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef10.5083.csv,100
apology,altruism_v3/apology,decision,-1,-10.508308410644531,-1.3130641105986567,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef-10.5083.csv,100
apology,altruism_v3/apology,decision,2,21.016616821289062,2.6261282211973134,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef21.0166.csv,100
apology,altruism_v3/apology,decision,-2,-21.016616821289062,-2.6261282211973134,results/crossgame-decision-vectors/vectors/decision_apology_response_avg_diff_cellbalanced_strict.pt,dcfdee45d1828992,8.002890586853027,apology/decision/altruism_v3-apology_free_layer20_all_unit_coef-21.0166.csv,100
